id,languages,classifier,clfType,fileType
1209304,"['objective-c', 'c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
886709,"['javascript', 'shell']",HIT*,HIT,['*']
982541,"['javascript', 'ruby']",HIT*,HIT,['*']
270226,"['ruby', 'shell', 'javascript']",HIT*,HIT,['*']
179,"['ruby', 'javascript']",HIT*,HIT,['*']
135376,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
733718,"['c', 'java', 'c++', 'shell']",Shell*_C-C++_Java-C,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
122374,"['objective-c', 'c']",HIT*,HIT,['*']
843477,"['objective-c', 'c']",HIT*,HIT,['*']
578449,"['objective-c', 'c']",C++-Objective-C,FFI,['.mm']
65794,"['javascript', 'ruby']",HIT*,HIT,['*']
100423,"['objective-c', 'c']",HIT*,HIT,['*']
968114,"['objective-c', 'c']",HIT*,HIT,['*']
2773938,"['ruby', 'c', 'objective-c']",Ruby*,IMI,['.rb']
4656,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
1259285,"['objective-c', 'c']",HIT*,HIT,['*']
519528,"['python', 'ruby']",HIT*,HIT,['*']
3047653,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
68662,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
1549505,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
454744,"['c++', 'c', 'java', 'shell', 'objective-c']",Shell*_C++-Objective-C_C-C++_Java*,FFI_IMI,"['.c', '.cpp', '.mm', '.sh', '.bsh', '.zsh', '.java']"
1036341,"['javascript', 'shell', 'ruby']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
7480,"['ruby', 'c++', 'c']",Ruby*_C-C++,FFI_IMI,"['.c', '.cpp', '.rb']"
367872,"['objective-c', 'c']",HIT*,HIT,['*']
1085433,"['javascript', 'ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1010501,"['javascript', 'php']",HIT*,HIT,['*']
143845,"['c++', 'c', 'objective-c', 'shell']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
220059,"['objective-c', 'c', 'java']",HIT*,HIT,['*']
215314,"['ruby', 'python', 'shell', 'javascript']",Shell*_Python*,IMI,"['.py', '.sh', '.bsh', '.zsh']"
1444475,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
677999,"['javascript', 'ruby']",Ruby*,IMI,['.rb']
1798154,"['c++', 'c', 'javascript', 'shell', 'java']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
232220,"['c++', 'c', 'javascript', 'python']",C++-JavaScript_C-C++,FFI,"['.c', '.cpp', '.cpp', '.cc']"
2866323,"['ruby', 'javascript']",HIT*,HIT,['*']
2111184,"['objective-c', 'c++', 'c']",C++-Objective-C_C-C++,FFI,"['.c', '.cpp', '.mm']"
2480979,"['javascript', 'shell']",HIT*,HIT,['*']
860439,"['ruby', 'javascript']",HIT*,HIT,['*']
308838,"['javascript', 'ruby', 'php']",HIT*,HIT,['*']
4859,"['ruby', 'javascript']",HIT*,HIT,['*']
35299,"['ruby', 'javascript']",HIT*,HIT,['*']
476868,"['c', 'c++', 'ruby']",Ruby*_C-C++,FFI_IMI,"['.c', '.cpp', '.rb']"
810601,"['javascript', 'ruby']",HIT*,HIT,['*']
3403,"['ruby', 'javascript']",HIT*,HIT,['*']
2651457,"['python', 'javascript']",HIT*,HIT,['*']
392946,"['objective-c', 'c']",HIT*,HIT,['*']
1177635,"['shell', 'c', 'c++']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
2862819,"['objective-c', 'c']",HIT*,HIT,['*']
1449225,"['objective-c', 'c']",HIT*,HIT,['*']
2188761,"['php', 'javascript']",HIT*,HIT,['*']
1136384,"['python', 'javascript', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
14187,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
13128,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
922756,"['c', 'javascript']",HIT*,HIT,['*']
114522,"['ruby', 'javascript']",HIT*,HIT,['*']
1612472,"['c++', 'javascript', 'objective-c']",C++-JavaScript,FFI,"['.cpp', '.cc']"
228068,"['c++', 'python', 'objective-c', 'c', 'javascript']",C++-JavaScript_Python*_C++-Objective-C_C-C++,FFI_IMI,"['.c', '.cpp', '.mm', '.cpp', '.cc', '.py']"
116547,"['java', 'ruby', 'javascript']",HIT*,HIT,['*']
2886824,"['php', 'javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
379371,"['javascript', 'python']",HIT*,HIT,['*']
640685,"['c', 'objective-c']",HIT*,HIT,['*']
5933,"['ruby', 'javascript']",HIT*,HIT,['*']
1663715,"['objective-c', 'c']",HIT*,HIT,['*']
179455,"['javascript', 'shell']",HIT*,HIT,['*']
1122848,"['php', 'javascript']",HIT*,HIT,['*']
1023845,"['java', 'shell']",Shell*_Java*,IMI,"['.java', '.sh', '.bsh', '.zsh']"
751,"['ruby', 'javascript']",HIT*,HIT,['*']
2223890,"['javascript', 'ruby']",HIT*,HIT,['*']
358731,"['python', 'ruby']",Ruby*,IMI,['.rb']
2497347,"['java', 'c', 'shell', 'c++']",C-C++_Java-C,FFI,"['.c', '.cpp', '.java', '.c']"
244406,"['python', 'javascript']",HIT*,HIT,['*']
796872,"['objective-c', 'c']",HIT*,HIT,['*']
686345,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
238559,"['objective-c', 'javascript', 'c']",HIT*,HIT,['*']
1835564,"['objective-c', 'c']",HIT*,HIT,['*']
282712,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
2590467,"['c', 'shell', 'c++', 'java']",Shell*_C-C++_Java-C,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
1780619,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
957422,"['objective-c', 'c']",HIT*,HIT,['*']
24111,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
58099,"['javascript', 'ruby']",JavaScript*_Ruby*,IMI,"['.rb', '.ts', '.js', '.html']"
498050,"['javascript', 'shell', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
477994,"['ruby', 'javascript']",HIT*,HIT,['*']
1164078,"['javascript', 'shell']",JavaScript*,IMI,"['.ts', '.js', '.html']"
69856,"['ruby', 'javascript']",HIT*,HIT,['*']
1357872,"['javascript', 'python', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
2784060,"['c++', 'shell', 'c']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
661247,"['javascript', 'shell']",JavaScript*,IMI,"['.ts', '.js', '.html']"
2087339,"['javascript', 'python']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1315167,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
24439,"['ruby', 'c']",Ruby*,IMI,['.rb']
371739,"['ruby', 'javascript', 'shell']",Shell*_JavaScript*_Ruby*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.rb']"
757308,"['php', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
17534,"['ruby', 'javascript']",JavaScript*_Ruby*,IMI,"['.rb', '.ts', '.js', '.html']"
45267,"['shell', 'python']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
513506,"['objective-c', 'c']",C++-Objective-C,FFI,['.mm']
1687958,"['objective-c', 'c']",HIT*,HIT,['*']
30768,"['ruby', 'shell']",Ruby*,IMI,['.rb']
322641,"['python', 'shell']",HIT*,HIT,['*']
308402,"['ruby', 'javascript', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
43977,"['c++', 'c', 'ruby']",C++-Ruby_C-C++,FFI,"['.c', '.cpp', '.cpp', '.cc', '.rb']"
1161649,"['objective-c', 'c', 'php', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
305256,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
178196,"['ruby', 'python']",Ruby*,IMI,['.rb']
257363,"['ruby', 'c', 'shell']",Shell*_Ruby*,IMI,"['.sh', '.bsh', '.zsh', '.rb']"
1647701,"['javascript', 'java']",JavaScript*,IMI,"['.ts', '.js', '.html']"
119959,"['ruby', 'shell']",Ruby*,IMI,['.rb']
225834,"['ruby', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
24451,"['ruby', 'javascript']",Ruby*,IMI,['.rb']
94056,"['javascript', 'shell']",JavaScript*_Shell*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
218062,"['ruby', 'javascript']",HIT*,HIT,['*']
1339905,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1891065,"['objective-c', 'c', 'c++']",C-C++,FFI,"['.c', '.cpp']"
737557,"['javascript', 'shell', 'php']",JavaScript*_Shell*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
159368,"['shell', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
656432,"['javascript', 'shell']",HIT*,HIT,['*']
1268952,"['objective-c', 'c']",HIT*,HIT,['*']
486207,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
394786,"['c++', 'javascript', 'shell']",C++-JavaScript_Shell*,FFI_IMI,"['.cpp', '.cc', '.sh', '.bsh', '.zsh']"
1512763,"['ruby', 'objective-c', 'c']",HIT*,HIT,['*']
1050604,"['ruby', 'javascript']",HIT*,HIT,['*']
378841,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
569278,"['c', 'c++', 'java']",C-C++,FFI,"['.c', '.cpp']"
