id,languages,classifier,clfType,fileType
885487,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
4341615,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1705750,"['javascript', 'php', 'ruby']",HIT*,HIT,['*']
1918500,"['objective-c', 'c']",HIT*,HIT,['*']
1018758,"['objective-c', 'c', 'c++', 'shell']",C-C++_Shell*,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
250217,"['objective-c', 'ruby', 'c']",HIT*,HIT,['*']
150393,"['objective-c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1145302,"['javascript', 'python', 'php', 'shell', 'ruby']",Shell*_Python*_JavaScript*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.py']"
2927635,"['javascript', 'php', 'objective-c', 'java']",JavaScript*,IMI,"['.ts', '.js', '.html']"
722962,"['python', 'c', 'javascript']",Java-Python_C-Python,FFI,"['.c', '.py', '.py', '.java']"
3130318,"['php', 'shell', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
2095417,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
3016789,"['java', 'python']",Java*_Python*,IMI,"['.java', '.py']"
224803,"['objective-c', 'c']",HIT*,HIT,['*']
2048454,"['javascript', 'shell']",JavaScript*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
4826,"['ruby', 'shell']",HIT*,HIT,['*']
308023,"['objective-c', 'c']",HIT*,HIT,['*']
2289234,"['javascript', 'objective-c']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1496306,"['javascript', 'ruby', 'python', 'shell']",JavaScript*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
382576,"['objective-c', 'c']",HIT*,HIT,['*']
2629035,"['javascript', 'python']",JavaScript*,IMI,"['.ts', '.js', '.html']"
694779,"['java', 'objective-c', 'c', 'c++', 'python', 'shell']",C++-Objective-C_C-C++_Java-C_Shell*,FFI_IMI,"['.c', '.cpp', '.mm', '.java', '.c', '.sh', '.bsh', '.zsh']"
15402,"['ruby', 'objective-c', 'c']",Ruby*,IMI,['.rb']
1478803,"['javascript', 'python', 'shell']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1895389,"['javascript', 'python', 'c++']",JavaScript*,IMI,"['.ts', '.js', '.html']"
2109948,"['javascript', 'python', 'shell']",Python*,IMI,['.py']
1117337,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
7036331,"['python', 'shell', 'javascript']",JavaScript*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
218668,"['objective-c', 'c', 'c++', 'shell']",C-C++_Shell*,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
5977510,"['objective-c', 'c']",HIT*,HIT,['*']
3703850,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
485581,"['c', 'objective-c', 'c++', 'javascript']",C++-Objective-C_C-C++_Java-C,FFI,"['.mm', '.c', '.cpp', '.java', '.c']"
4296902,"['c', 'java']",Java-C,FFI,"['.java', '.c']"
163302,"['python', 'shell']",HIT*,HIT,['*']
145619,"['ruby', 'javascript']",Ruby*_JavaScript*,IMI,"['.rb', '.ts', '.js', '.html']"
147180,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1268508,"['objective-c', 'c']",HIT*,HIT,['*']
195793,"['ruby', 'c', 'java', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
2739862,"['c++', 'c', 'objective-c']",C-C++,FFI,"['.c', '.cpp']"
2691381,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
6083288,"['javascript', 'python', 'shell']",JavaScript*,IMI,"['.ts', '.js', '.html']"
3318854,"['c', 'c++', 'shell', 'python']",C-C++_Python*_Java-C_Shell*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.py', '.sh', '.bsh', '.zsh']"
3551051,"['ruby', 'javascript', 'php', 'python']",Ruby*_JavaScript*,IMI,"['.ts', '.js', '.html', '.rb']"
136564,"['c', 'ruby', 'shell']",Ruby*,IMI,['.rb']
1948971,"['ruby', 'javascript']",Ruby*_JavaScript*,IMI,"['.ts', '.js', '.html', '.rb']"
1566831,"['objective-c', 'c', 'javascript']",C++-Objective-C,FFI,['.mm']
1017923,"['objective-c', 'c']",HIT*,HIT,['*']
2752923,"['javascript', 'python']",JavaScript*,IMI,"['.ts', '.js', '.html']"
626356,"['c++', 'shell', 'c', 'javascript']",C-C++_JavaScript*,FFI_IMI,"['.c', '.cpp', '.ts', '.js', '.html']"
4967626,"['python', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
4257391,"['javascript', 'ruby']",JavaScript*,IMI,"['.ts', '.js', '.html']"
365424,"['objective-c', 'c']",HIT*,HIT,['*']
111849,"['ruby', 'javascript']",HIT*,HIT,['*']
1365656,"['javascript', 'python', 'shell']",HIT*,HIT,['*']
665863,"['php', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1405657,"['javascript', 'shell']",HIT*,HIT,['*']
3244037,"['objective-c', 'c++']",HIT*,HIT,['*']
697359,"['objective-c', 'c++', 'c']",C-C++,FFI,"['.c', '.cpp']"
4736282,"['objective-c', 'c++', 'ruby']",HIT*,HIT,['*']
