id,languages,classifier,clfType,fileType
3755875,"['html', 'javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
93076012,"['typescript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
781028,"['javascript', 'css', 'shell', 'python', 'html']",JavaScript*_JS-CSS-HTML*_Shell*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
1136075,"['javascript', 'html', 'php']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
1337658,"['javascript', 'css', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
8257106,"['objective-c', 'ruby']",HIT*,HIT,['*']
38003903,"['javascript', 'css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
1290701,"['javascript', 'css']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1211978,"['html', 'javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14187079,"['objective-c', 'ruby']",HIT*,HIT,['*']
26568234,"['java', 'python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
31052073,"['css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
43279131,"['css', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
21929029,"['c++', 'python']",HIT*,HIT,['*']
4584417,"['html', 'css', 'php']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
642222,"['python', 'shell']",Python*,IMI,['.py']
97646385,"['c++', 'typescript', 'javascript', 'c']",C++-JavaScript_C-C++_JS-CSS-HTML*,FFI_EBD,"['.c', '.cpp', '.cpp', '.cc', '.html', '.js', '.css']"
3633690,"['javascript', 'css', 'html', 'python']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
10894716,"['c', 'c++', 'python', 'shell']",Python*_C-C++_Shell*,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.py']"
23082332,"['objective-c', 'ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
41673581,"['javascript', 'css']",JavaScript*,IMI,"['.ts', '.js', '.html']"
34533286,"['java', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
728994,"['javascript', 'html', 'css', 'typescript']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
9060347,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
31524768,"['javascript', 'python', 'java', 'css', 'c++', 'shell', 'c', 'html', 'objective-c', 'php']",C-C++_Shell*_C-Python_Java-Python_Python*_Java-C_JavaScript*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.c', '.py', '.py', '.java', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.py']"
1205958,"['javascript', 'html', 'php', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
75890962,"['javascript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
4931659,"['java', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
2762270,"['javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
2328523,"['javascript', 'html', 'python', 'shell', 'ruby']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
52210728,"['html', 'css', 'python']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
13426154,"['css', 'html', 'ruby']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
1762028,"['objective-c', 'ruby']",HIT*,HIT,['*']
45300,"['css', 'ruby', 'html', 'javascript', 'shell']",JavaScript*_JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
12719776,"['typescript', 'javascript', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
20167283,"['javascript', 'css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
7922549,"['javascript', 'shell']",HIT*,HIT,['*']
23092866,"['objective-c', 'ruby']",HIT*,HIT,['*']
22720859,"['html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
2280459,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
36487753,"['javascript', 'css', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
45655949,"['javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
24650339,"['java', 'objective-c', 'python', 'html', 'javascript', 'shell']",Shell*_JavaScript*_Java*,IMI,"['.java', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
53172292,"['javascript', 'objective-c', 'java', 'python', 'html']",JavaScript*_Java-C_JS-CSS-HTML*,FFI_IMI_EBD,"['.java', '.c', '.ts', '.js', '.html', '.html', '.js', '.css']"
23948801,"['shell', 'javascript']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
128821674,"['python', 'shell']",Python*_Shell*,IMI,"['.py', '.sh', '.bsh', '.zsh']"
11726302,"['javascript', 'css', 'html', 'shell']",JavaScript*_JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
15126429,"['html', 'shell', 'javascript', 'css']",JavaScript*_JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
2564712,"['javascript', 'python', 'html', 'css', 'shell']",C-Python_Python*_JavaScript*_Shell*,FFI_IMI,"['.c', '.py', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
38139390,"['go', 'shell']",C-Go,FFI,['.go']
5741345,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
9394642,"['html', 'css', 'javascript', 'ruby', 'python', 'shell']",JavaScript*_JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
2939440,"['html', 'css', 'javascript']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
5060433,"['javascript', 'python']",JavaScript*,IMI,"['.ts', '.js', '.html']"
70063086,"['typescript', 'css', 'javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14673229,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
64864962,"['java', 'python', 'shell']",Java-C_Java*,FFI_IMI,"['.java', '.c', '.java']"
3430409,"['objective-c', 'c++', 'html', 'c', 'ruby']",C-C++,FFI,"['.c', '.cpp']"
4812336,"['java', 'html', 'css', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
73915307,"['javascript', 'html', 'shell']",JavaScript*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
14640245,"['javascript', 'html', 'php', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
5057307,"['objective-c', 'ruby']",HIT*,HIT,['*']
37382467,"['python', 'shell', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
2889116,"['objective-c', 'ruby']",HIT*,HIT,['*']
13863797,"['javascript', 'css', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
43209178,"['html', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
9421282,"['objective-c', 'ruby']",HIT*,HIT,['*']
26194471,"['go', 'python', 'html', 'javascript', 'css', 'shell']",JavaScript*_Python*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
33134213,"['java', 'javascript', 'css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
8318401,"['c++', 'javascript', 'python', 'c', 'shell']",C++-JavaScript_JavaScript*_C-C++_Shell*,FFI_IMI,"['.c', '.cpp', '.cpp', '.cc', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
46977130,"['java', 'objective-c', 'ruby', 'html', 'css', 'shell']",Java-C_JS-CSS-HTML*,FFI_EBD,"['.java', '.c', '.html', '.js', '.css']"
21127643,"['html', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
6566487,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
44634390,"['go', 'python']",Ruby-Go_C-Go,FFI,"['.go', '.go']"
36229979,"['javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
