id,languages,classifier,clfType,fileType
9603714,"['objective-c', 'shell', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
26363421,"['java', 'css', 'html', 'javascript', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
341626,"['ruby', 'css', 'javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
85786010,"['python', 'shell']",Shell*_Python*,IMI,"['.py', '.sh', '.bsh', '.zsh']"
2404027,"['java', 'python', 'css', 'shell', 'ruby', 'javascript']",Shell*_Java*_Java-C,FFI_IMI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
268027,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
12283195,"['objective-c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
34676773,"['c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
10740728,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
1676966,"['javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
45091124,"['javascript', 'python', 'shell', 'html']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
1706871,"['html', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
42489883,"['c++', 'java', 'c']",C-C++_Java-C,FFI,"['.c', '.cpp', '.java', '.c']"
4012085,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14454268,"['javascript', 'css', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
13200787,"['objective-c', 'shell', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
18607529,"['javascript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
69828680,"['c', 'go', 'shell', 'objective-c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
6804324,"['javascript', 'typescript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14393731,"['java', 'shell']",Shell*_Java*,IMI,"['.java', '.sh', '.bsh', '.zsh']"
33581487,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
20232642,"['objective-c', 'ruby']",C++-Objective-C,FFI,['.mm']
12977854,"['javascript', 'css', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
26103342,"['python', 'objective-c', 'javascript', 'html', 'css', 'c', 'c++', 'shell', 'ruby']",Shell*_C++-Objective-C_JavaScript*_C-Python_C-C++_Python*,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.mm', '.py', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
24478678,"['javascript', 'html', 'css', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
18981255,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
692798,"['c', 'objective-c', 'c++', 'shell', 'python', 'ruby', 'css']",Shell*_Java-C_C-Python_C-C++_Python*,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
10697582,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
27244649,"['python', 'html', 'javascript', 'css']",JavaScript*_Python*_JS-CSS-HTML*,IMI_EBD,"['.py', '.ts', '.js', '.html', '.html', '.js', '.css']"
4047080,"['shell', 'c', 'javascript']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
10575878,"['javascript', 'html', 'go', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
