id,languages,classifier,clfType,fileType
9158654,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
40706,"['css', 'ruby']",Ruby*,IMI,['.rb']
14235657,"['css', 'ruby']",HIT*,HIT,['*']
49268802,"['java', 'c++']",Java-C,FFI,"['.java', '.c']"
11776741,"['javascript', 'css', 'html', 'shell']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14816993,"['c', 'c++', 'javascript', 'shell', 'ruby', 'css', 'html', 'objective-c', 'python']",Java-C_C-Python_C-C++_Shell*_JavaScript*,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.java', '.c', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
3277032,"['javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
17469184,"['html', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
2831096,"['c++', 'c', 'html', 'shell', 'objective-c', 'python']",Java-C_Python*_C-C++_Shell*_C++-Objective-C,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.mm', '.sh', '.bsh', '.zsh', '.py']"
3019524,"['objective-c', 'ruby']",HIT*,HIT,['*']
165886,"['c++', 'php', 'python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
43000411,"['javascript', 'java', 'objective-c']",HIT*,HIT,['*']
17576377,"['css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
21739472,"['c', 'c++', 'objective-c']",Java-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c']"
3853751,"['c++', 'javascript', 'python', 'css', 'shell']",Shell*_C++-Objective-C_C++-JavaScript_JavaScript*,FFI_IMI,"['.mm', '.cpp', '.cc', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
5583022,"['objective-c', 'c', 'c++']",C++-Objective-C_C-C++,FFI,"['.c', '.cpp', '.mm']"
15240249,"['objective-c', 'c', 'javascript', 'java']",C++-Objective-C,FFI,['.mm']
47656654,"['css', 'javascript', 'html', 'python']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1633914,"['go', 'shell', 'javascript', 'css']",Shell*_JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
6177949,"['ruby', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
10513377,"['javascript', 'css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
13887383,"['c++', 'c', 'java', 'shell', 'objective-c', 'php', 'python', 'html', 'javascript']",Java-C_Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
1446771,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
605475,"['javascript', 'css', 'html', 'ruby']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
12931484,"['html', 'css', 'c', 'c++', 'javascript', 'shell', 'python']",Shell*_JavaScript*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
8557873,"['css', 'html', 'javascript', 'ruby']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
44513129,"['c++', 'java', 'c', 'shell']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
3354157,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
4459589,"['javascript', 'python', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
48564838,"['java', 'c']",Java-C,FFI,"['.java', '.c']"
26068656,"['objective-c', 'ruby']",HIT*,HIT,['*']
745502,"['css', 'javascript', 'php', 'ruby']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
11493,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
7805180,"['javascript', 'ruby', 'css', 'html', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
5138050,"['objective-c', 'c', 'ruby']",HIT*,HIT,['*']
22960202,"['css', 'python', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
26951178,"['css', 'javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
767761,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
5193009,"['java', 'html']",Java-C,FFI,"['.java', '.c']"
21685855,"['javascript', 'c', 'shell', 'html']",Shell*_JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
1760686,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14855579,"['objective-c', 'ruby']",HIT*,HIT,['*']
938745,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1246599,"['javascript', 'python', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
172460,"['objective-c', 'ruby']",HIT*,HIT,['*']
25587159,"['objective-c', 'shell', 'ruby', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
8490636,"['objective-c', 'shell', 'ruby', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
11535888,"['php', 'javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
58007306,"['shell', 'objective-c', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
62854365,"['python', 'objective-c', 'ruby']",Python*,IMI,['.py']
615356,"['objective-c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
7683794,"['python', 'javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1307476,"['ruby', 'html']",Ruby*,IMI,['.rb']
11271755,"['objective-c', 'ruby']",HIT*,HIT,['*']
5265008,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
57179426,"['objective-c', 'ruby']",HIT*,HIT,['*']
22472365,"['javascript', 'css', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
8319818,"['objective-c', 'ruby']",HIT*,HIT,['*']
