id,languages,classifier,clfType,fileType
3497763,"['css', 'javascript', 'ruby', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
3710342,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
25870036,"['ruby', 'shell']",HIT*,HIT,['*']
14127490,"['javascript', 'ruby', 'css']",JS-CSS-HTML*_Ruby*,IMI_EBD,"['.rb', '.html', '.js', '.css']"
11830909,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
7116973,"['javascript', 'css', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
24094708,"['c', 'c++', 'objective-c', 'shell']",C-C++,FFI,"['.c', '.cpp']"
7997016,"['css', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
3295176,"['ruby', 'c']",HIT*,HIT,['*']
8941531,"['java', 'shell']",Java-JavaScript_Java-C,FFI,"['.java', '.c', '.java']"
16093309,"['objective-c', 'c', 'css', 'c++']",C-C++,FFI,"['.c', '.cpp']"
5465143,"['objective-c', 'ruby']",HIT*,HIT,['*']
1258546,"['objective-c', 'ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
12173316,"['objective-c', 'ruby']",HIT*,HIT,['*']
12310747,"['python', 'css']",HIT*,HIT,['*']
13230264,"['ruby', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
3510440,"['c++', 'javascript', 'python']",C++-Objective-C_C++-JavaScript,FFI,"['.cpp', '.cc', '.mm']"
11221326,"['javascript', 'css', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
909251,"['css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
122471,"['python', 'javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
16674241,"['javascript', 'css']",JavaScript*,IMI,"['.ts', '.js', '.html']"
19466626,"['java', 'javascript', 'css', 'shell', 'python']",Shell*_JavaScript*_Java-C,FFI_IMI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
6584052,"['javascript', 'css', 'php']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
202299,"['objective-c', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
785859,"['objective-c', 'ruby', 'c']",Ruby*,IMI,['.rb']
2554914,"['objective-c', 'ruby']",HIT*,HIT,['*']
192868,"['python', 'php']",Python*,IMI,['.py']
5115347,"['css', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
9380522,"['css', 'java']",HIT*,HIT,['*']
9145730,"['c++', 'python', 'c', 'shell', 'css', 'ruby']",Shell*_C-C++_C-Python_Python*,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.py', '.sh', '.bsh', '.zsh']"
3602201,"['python', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
4207315,"['javascript', 'css', 'java', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
2802298,"['css', 'php']",HIT*,HIT,['*']
20093507,"['python', 'javascript', 'css']",JavaScript*_Python*,IMI,"['.py', '.ts', '.js', '.html']"
7977879,"['css', 'javascript', 'ruby']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
5075922,"['css', 'ruby', 'javascript']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
11150359,"['objective-c', 'ruby']",HIT*,HIT,['*']
7890141,"['objective-c', 'c++']",HIT*,HIT,['*']
13153048,"['ruby', 'css', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
2276340,"['javascript', 'ruby', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
13706709,"['javascript', 'css']",JavaScript*,IMI,"['.ts', '.js', '.html']"
1745628,"['c', 'c++', 'php', 'objective-c', 'css', 'javascript', 'shell']",JS-CSS-HTML*_C-C++,FFI_EBD,"['.c', '.cpp', '.html', '.js', '.css']"
6735460,"['java', 'objective-c']",HIT*,HIT,['*']
19842336,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
14056672,"['objective-c', 'shell', 'ruby', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
6970537,"['python', 'c++', 'shell', 'c']",Shell*_C-C++_C-Python,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh']"
